id,idtipo,nombre35,nombre50,nombre105,nombre105_ent_suc,observaciones,codigocif,siglavia,nombrevia,numerovia,restodom,codpostal,poblacion,provincia,codpais,servtasa,telefono,pendbaja,numfax,dirinternet,fchbaja,motbaja,codentsuc,fechactualiza,fechaalta,codaut,codprov,nomcomercial,indicativonc,bic,nomentmatriz,direntmatriz,locentmatriz,cpentmatriz,telentmatriz,faxentmatriz,internetentmatriz,cod_autonomia,anagrama
1956,4,"CAJA R. S. JOSE DE ALMASSORA, SCCV","CAJA R. S. JOSE DE ALMASSORA, S.C.C.V.","CAJA RURAL SAN JOSE DE ALMASSORA, S. COOP. DE CREDITO V.",NULL,NULL,F12013280,CL,TRINIDAD,20,NULL,12550,ALMASSORA,CASTELLON,ES,NULL,964560003,NULL,964550248,WWW.TUCAJARURAL.COM,NULL,NULL,0000,2008-02-18,1969-10-14,NULL,12,"CAIXA ALMASSORA",S,BCOEESMM130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,"CAIXA ALMASSORA"
1957,4,"CAJA R. DE BETXI, S.C.C.V.","CAJA R. DE BETXI, S.C.C.V.","CAJA RURAL DE BETXI, S. COOP. DE CREDITO V.",NULL,NULL,F12013322,PZ,MAYOR,2,NULL,12549,BETXI,CASTELLON,ES,NULL,964623003,NULL,964621122,WWW.CAJARURAL.COM/BETXI,NULL,NULL,0000,2008-02-18,1969-10-14,NULL,12,NULL,N,BCOEESMM138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,"CAIXA R BETXI"
1958,4,"CAJA DE CREDITO COOPERATIVO, S.C.C.","CAJA DE CREDITO COOPERATIVO, S.C.C.","CAJA DE CREDITO COOPERATIVO, SOCIEDAD COOPERATIVA DE CREDITO",NULL,NULL,F28457075,CL,"VIRGEN DE LOS PELIGROS",4,"PL. 4",28013,MADRID,NULL,ES,NULL,916926153,NULL,0,NULL,NULL,NULL,0000,2008-06-12,1976-11-11,NULL,28,NOVANCA,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NOVANCA
1959,4,"CAJA RURAL DE MONCOFAR, C.CTO.VAL.","CAJA RURAL DE MONCOFAR, COOP. CTO. VALENCIANA","CAJA RURAL DE MONCOFAR, COOPERATIVA CREDITO VALENCIANA",NULL,NULL,F12013132,PZ,CONSTITUCION,5,NULL,12593,MONCOFAR,CASTELLON,ES,NULL,964580025,NULL,964580051,NULL,1994-02-14,"POR FUSION POR ABSORCION",0000,2000-09-01,1969-10-14,NULL,12,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,C.R.MONCOFAR
1960,6,"DESCOM E.F.C., S.A.","DESCOM E.F.C., S.A.","DESCOM ESTABLECIMIENTO FINANCIERO DE CREDITO, S.A.",NULL,NULL,A08451783,CL,"CONDE DE SALVATIERRA",5-15,"DESPACHO 215",8006,BARCELONA,NULL,ES,NULL,932375262,NULL,932378077,NULL,1999-11-22,"POR CAMBIO DE OBJETO SOCIAL",0000,2000-08-31,1996-10-21,NULL,8,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,DESCOM
1961,6,"MONETICIA, S.A. E.F.C.","MONETICIA, S.A. E.F.C.","MONETICIA, S.A. ESTABLECIMIENTO FINANCIERO DE CREDITO",NULL,NULL,A08381337,CL,DIPUTACION,266,"PL. 1",8007,BARCELONA,NULL,ES,NULL,934125076,NULL,934123270,NULL,2010-06-04,"POR RENUNCIA",0000,2010-06-04,1996-12-23,NULL,8,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,MONETICIA
1962,6,"PASTOR SERVICIOS FINANCIEROS","PASTOR SERVICIOS FINANCIEROS, E.F.C., S.A.","PASTOR SERVICIOS FINANCIEROS, ESTABLECIMIENTO FINANCIERO DE CREDITO, S.A.",NULL,NULL,A28197036,CL,"CANTON PEQUEÑO",1,NULL,15003,"A CORUÑA",NULL,ES,NULL,981779280,NULL,981779290,WWW.PASTORSERFIN.COM,NULL,NULL,0000,2002-09-18,1996-12-20,NULL,15,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,"PASTOR SERFIN"
1963,6,"FGA CAPITAL SPAIN, E.F.C., S.A.","FGA CAPITAL SPAIN, E.F.C., S.A.","FGA CAPITAL SPAIN, ESTABLECIMIENTO FINANCIERO DE CREDITO, S.A.",NULL,NULL,A28655348,CR,M-300,"KM. 28,500",NULL,28802,"ALCALA DE HENARES",MADRID,ES,NULL,918853446,NULL,918852606,NULL,NULL,NULL,0000,2009-05-22,1996-12-31,NULL,28,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,"FGA CAPITAL SPA"
1964,6,"MULTIAHORRO E.F.C., S.A.","MULTIAHORRO E.F.C., S.A.","MULTIAHORRO E.F.C., S.A.","BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA, S.A.",NULL,A08234791,NULL,"TRAVESSERA DE GRACIA",11,"PL. 5",8021,BARCELONA,NULL,ES,NULL,933163333,NULL,933163165,NULL,2009-09-21,"POR FUSION POR ABSORCION CON DISOLUCION SIN LIQUIDACION POR",0142,2009-09-21,1996-12-31,NULL,8,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,MULTIAHORRO
1965,6,"NACIONAL FINANCIERA, E.F.C., S.A.","NACIONAL FINANCIERA, E.F.C., S.A.","NACIONAL FINANCIERA, ESTABLECIMIENTO FINANCIERO DE CREDITO, S.A.",NULL,NULL,A50012624,PS,SAGASTA,20,"ENTR. OF. DCHA.",50006,ZARAGOZA,NULL,ES,NULL,976228724,NULL,976236689,NULL,2000-11-16,"POR CAMBIO DE OBJETO SOCIAL",0000,2008-03-06,1996-09-16,NULL,50,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NAFISA
